,device,bat_capacity,current_cost,battery_cost
0,DD04108401266,2,-1494.3057395569824,-81.46813529591542
1,DD04108401266,4,-1494.3057395569824,63.30580342112283
2,DD04108401266,6,-1494.3057395569824,135.31118434832996
3,DD04108401266,8,-1494.3057395569824,168.1594028183256
4,DD04108401266,10,-1494.3057395569824,182.6933107703687
5,DD04108401266,12,-1494.3057395569824,191.50239284070315
6,DD04108401266,14,-1494.3057395569824,197.89000130977158
7,DD04108401266,16,-1494.3057395569824,202.38316405824676
8,DD04108401266,18,-1494.3057395569824,205.89375724297582
9,DD04108401266,20,-1494.3057395569824,208.59647325767662
0,DD04108624381,2,-2681.8123681880706,-259.33661585613265
1,DD04108624381,4,-2681.8123681880706,-121.71114820144412
2,DD04108624381,6,-2681.8123681880706,-34.443646717725116
3,DD04108624381,8,-2681.8123681880706,17.2328390739848
4,DD04108624381,10,-2681.8123681880706,50.731784139464665
5,DD04108624381,12,-2681.8123681880706,72.5225415534368
6,DD04108624381,14,-2681.8123681880706,90.9134247799956
7,DD04108624381,16,-2681.8123681880706,104.85899346873339
8,DD04108624381,18,-2681.8123681880706,116.10081339773146
9,DD04108624381,20,-2681.8123681880706,125.98816228422208
0,DD04108624683,2,-2142.328995217,-634.0885833021265
1,DD04108624683,4,-2142.328995217,-434.56819797931695
2,DD04108624683,6,-2142.328995217,-307.79885494064024
3,DD04108624683,8,-2142.328995217,-219.83378482168436
4,DD04108624683,10,-2142.328995217,-154.52361792871466
5,DD04108624683,12,-2142.328995217,-109.1402942520354
6,DD04108624683,14,-2142.328995217,-74.73378613153896
7,DD04108624683,16,-2142.328995217,-49.68881524102525
8,DD04108624683,18,-2142.328995217,-31.642378627603254
9,DD04108624683,20,-2142.328995217,-20.370608855552053
0,DD04108625556,2,-1282.509021825041,-2509.368964803218
1,DD04108625556,4,-1282.509021825041,-2306.4876389579363
2,DD04108625556,6,-1282.509021825041,-2151.451167109441
3,DD04108625556,8,-1282.509021825041,-2034.563444200335
4,DD04108625556,10,-1282.509021825041,-1956.1894925810288
5,DD04108625556,12,-1282.509021825041,-1902.9536116277109
6,DD04108625556,14,-1282.509021825041,-1867.2278930994883
7,DD04108625556,16,-1282.509021825041,-1845.066292921592
8,DD04108625556,18,-1282.509021825041,-1829.2682763854316
9,DD04108625556,20,-1282.509021825041,-1817.442557835292
0,DD04108627065,2,-3846.660170851081,-829.6885623061552
1,DD04108627065,4,-3846.660170851081,-571.8046523237152
2,DD04108627065,6,-3846.660170851081,-378.5355797321645
3,DD04108627065,8,-3846.660170851081,-242.76673020490034
4,DD04108627065,10,-3846.660170851081,-151.09604778116787
5,DD04108627065,12,-3846.660170851081,-89.64549006092193
6,DD04108627065,14,-3846.660170851081,-47.0647433804106
7,DD04108627065,16,-3846.660170851081,-17.443458603757982
8,DD04108627065,18,-3846.660170851081,4.257856389129938
9,DD04108627065,20,-3846.660170851081,21.214300076713773
0,DD04108627645,2,-2535.3543488719974,-1042.0323194321168
1,DD04108627645,4,-2535.3543488719974,-898.2375889188029
2,DD04108627645,6,-2535.3543488719974,-801.297927955761
3,DD04108627645,8,-2535.3543488719974,-726.7641817374018
4,DD04108627645,10,-2535.3543488719974,-669.5857422769112
5,DD04108627645,12,-2535.3543488719974,-628.9589521176248
6,DD04108627645,14,-2535.3543488719974,-603.6775098962949
7,DD04108627645,16,-2535.3543488719974,-587.3411860421845
8,DD04108627645,18,-2535.3543488719974,-575.4107437497493
9,DD04108627645,20,-2535.3543488719974,-566.7733308669506
0,DD04108746744,2,-510.522216773004,-158.2460959836497
1,DD04108746744,4,-510.522216773004,-127.49183787887476
2,DD04108746744,6,-510.522216773004,-116.85192339583982
3,DD04108746744,8,-510.522216773004,-112.2420494044709
4,DD04108746744,10,-510.522216773004,-110.31853677734757
5,DD04108746744,12,-510.522216773004,-108.67915574243241
6,DD04108746744,14,-510.522216773004,-107.8640204911409
7,DD04108746744,16,-510.522216773004,-107.05004402195313
8,DD04108746744,18,-510.522216773004,-106.3715861286911
9,DD04108746744,20,-510.522216773004,-105.48182315541766
0,DD04108747038,2,-1368.6037595309774,-1137.4455559468192
1,DD04108747038,4,-1368.6037595309774,-1006.6148189130761
2,DD04108747038,6,-1368.6037595309774,-921.3363281678334
3,DD04108747038,8,-1368.6037595309774,-848.0243270852989
4,DD04108747038,10,-1368.6037595309774,-788.0655456974133
5,DD04108747038,12,-1368.6037595309774,-739.483271688409
6,DD04108747038,14,-1368.6037595309774,-703.4271287364173
7,DD04108747038,16,-1368.6037595309774,-681.6123102014724
8,DD04108747038,18,-1368.6037595309774,-668.8043285181906
9,DD04108747038,20,-1368.6037595309774,-661.3643924656916
0,DD14108624198,2,-2693.161557721002,-2635.4372073238596
1,DD14108624198,4,-2693.161557721002,-2466.151536117295
2,DD14108624198,6,-2693.161557721002,-2321.4036205471366
3,DD14108624198,8,-2693.161557721002,-2197.424360863444
4,DD14108624198,10,-2693.161557721002,-2095.5412192407866
5,DD14108624198,12,-2693.161557721002,-2013.100021207192
6,DD14108624198,14,-2693.161557721002,-1949.2652166506061
7,DD14108624198,16,-2693.161557721002,-1900.0817740121686
8,DD14108624198,18,-2693.161557721002,-1864.1831360902156
9,DD14108624198,20,-2693.161557721002,-1835.8869491100738
0,DD14108624638,2,-2489.483337362955,299.8951223812751
1,DD14108624638,4,-2489.483337362955,327.3234174381225
2,DD14108624638,6,-2489.483337362955,332.05111797912326
3,DD14108624638,8,-2489.483337362955,332.8888312617724
4,DD14108624638,10,-2489.483337362955,333.2347279476328
5,DD14108624638,12,-2489.483337362955,333.58053246237165
6,DD14108624638,14,-2489.483337362955,333.64317207495577
7,DD14108624638,16,-2489.483337362955,333.6430403133868
8,DD14108624638,18,-2489.483337362955,333.64293490413144
9,DD14108624638,20,-2489.483337362955,333.64284267103324
0,DD14108625517,2,-689.665951629999,-495.47857205108454
1,DD14108625517,4,-689.665951629999,-415.9701784401242
2,DD14108625517,6,-689.665951629999,-383.22750570099544
3,DD14108625517,8,-689.665951629999,-370.6666248609449
4,DD14108625517,10,-689.665951629999,-363.5780988734568
5,DD14108625517,12,-689.665951629999,-359.57828849852444
6,DD14108625517,14,-689.665951629999,-356.42017714354307
7,DD14108625517,16,-689.665951629999,-353.7385877906714
8,DD14108625517,18,-689.665951629999,-351.8394661023518
9,DD14108625517,20,-689.665951629999,-350.0330824640803
0,DD14108626161,2,-1951.0553503510175,-941.3208391293585
1,DD14108626161,4,-1951.0553503510175,-754.9930007451967
2,DD14108626161,6,-1951.0553503510175,-615.9815208927433
3,DD14108626161,8,-1951.0553503510175,-520.7568423976537
4,DD14108626161,10,-1951.0553503510175,-453.3621827023843
5,DD14108626161,12,-1951.0553503510175,-406.4755892402005
6,DD14108626161,14,-1951.0553503510175,-374.4089440387745
7,DD14108626161,16,-1951.0553503510175,-352.89884581028815
8,DD14108626161,18,-1951.0553503510175,-338.055955152415
9,DD14108626161,20,-1951.0553503510175,-328.4449762183657
0,DD14108747277,2,-1112.6608572039875,-483.6752804376288
1,DD14108747277,4,-1112.6608572039875,-324.16620519653554
2,DD14108747277,6,-1112.6608572039875,-224.95408071881377
3,DD14108747277,8,-1112.6608572039875,-166.4504561636634
4,DD14108747277,10,-1112.6608572039875,-133.40772508611374
5,DD14108747277,12,-1112.6608572039875,-114.15346629920623
6,DD14108747277,14,-1112.6608572039875,-102.59503793557914
7,DD14108747277,16,-1112.6608572039875,-95.34321750850648
8,DD14108747277,18,-1112.6608572039875,-89.95101544756818
9,DD14108747277,20,-1112.6608572039875,-86.63135208347279
0,DD24108396973,2,-2805.0152387165376,371.71511855803897
1,DD24108396973,4,-2805.0152387165376,417.20095121491016
2,DD24108396973,6,-2805.0152387165376,434.0971935535715
3,DD24108396973,8,-2805.0152387165376,442.9339950606477
4,DD24108396973,10,-2805.0152387165376,448.1303796542617
5,DD24108396973,12,-2805.0152387165376,452.25858973401597
6,DD24108396973,14,-2805.0152387165376,455.0314245990238
7,DD24108396973,16,-2805.0152387165376,457.1514620128236
8,DD24108396973,18,-2805.0152387165376,458.861694429836
9,DD24108396973,20,-2805.0152387165376,460.4217200547712
0,DD24108397380,2,-4118.866848107985,-119.0689550743898
1,DD24108397380,4,-4118.866848107985,177.93161100960984
2,DD24108397380,6,-4118.866848107985,322.8436660087843
3,DD24108397380,8,-4118.866848107985,379.5100703206012
4,DD24108397380,10,-4118.866848107985,407.4003438344752
5,DD24108397380,12,-4118.866848107985,425.5494881168056
6,DD24108397380,14,-4118.866848107985,440.420509934682
7,DD24108397380,16,-4118.866848107985,447.103844209503
8,DD24108397380,18,-4118.866848107985,451.13848394245576
9,DD24108397380,20,-4118.866848107985,453.2000975301042
0,DD24108411689,2,-1375.889237157002,-216.86454115964713
1,DD24108411689,4,-1375.889237157002,-86.20774169901766
2,DD24108411689,6,-1375.889237157002,-18.31865011703775
3,DD24108411689,8,-1375.889237157002,18.255643252059002
4,DD24108411689,10,-1375.889237157002,40.911899845480214
5,DD24108411689,12,-1375.889237157002,54.129209722258224
6,DD24108411689,14,-1375.889237157002,64.0456254285672
7,DD24108411689,16,-1375.889237157002,71.65290204409922
8,DD24108411689,18,-1375.889237157002,78.03027311806481
9,DD24108411689,20,-1375.889237157002,83.72430288371038
0,DD24108625051,2,-2396.1940578939443,-346.377179124773
1,DD24108625051,4,-2396.1940578939443,-186.38721824298378
2,DD24108625051,6,-2396.1940578939443,-91.914784762078
3,DD24108625051,8,-2396.1940578939443,-28.73309709387714
4,DD24108625051,10,-2396.1940578939443,13.154909876886807
5,DD24108625051,12,-2396.1940578939443,41.36469533089375
6,DD24108625051,14,-2396.1940578939443,58.60397430331935
7,DD24108625051,16,-2396.1940578939443,71.41715082414922
8,DD24108625051,18,-2396.1940578939443,81.35505376875099
9,DD24108625051,20,-2396.1940578939443,89.50396225306888
0,DD24108626539,2,-772.950149997001,-1086.7476698608978
1,DD24108626539,4,-772.950149997001,-984.5243064842738
2,DD24108626539,6,-772.950149997001,-912.6511212127532
3,DD24108626539,8,-772.950149997001,-871.3951503895235
4,DD24108626539,10,-772.950149997001,-850.2769785925899
5,DD24108626539,12,-772.950149997001,-837.6554230823233
6,DD24108626539,14,-772.950149997001,-828.8558572606626
7,DD24108626539,16,-772.950149997001,-821.2387082719782
8,DD24108626539,18,-772.950149997001,-815.9364092571041
9,DD24108626539,20,-772.950149997001,-811.5036198040228
0,DD24108628289,2,-1521.231764334994,-375.9996573319609
1,DD24108628289,4,-1521.231764334994,-247.30526880978647
2,DD24108628289,6,-1521.231764334994,-179.72464724020116
3,DD24108628289,8,-1521.231764334994,-137.7031765685412
4,DD24108628289,10,-1521.231764334994,-105.93196967054855
5,DD24108628289,12,-1521.231764334994,-81.75677850582845
6,DD24108628289,14,-1521.231764334994,-65.38713117993396
7,DD24108628289,16,-1521.231764334994,-54.94620232051606
8,DD24108628289,18,-1521.231764334994,-48.159682747088844
9,DD24108628289,20,-1521.231764334994,-43.57908950722223
0,DD24108747257,2,-1100.0142265319917,-1417.040008994929
1,DD24108747257,4,-1100.0142265319917,-1254.385882251639
2,DD24108747257,6,-1100.0142265319917,-1133.1434493986528
3,DD24108747257,8,-1100.0142265319917,-1058.6951177747308
4,DD24108747257,10,-1100.0142265319917,-1016.4018217278112
5,DD24108747257,12,-1100.0142265319917,-989.2172272864731
6,DD24108747257,14,-1100.0142265319917,-970.8223784089172
7,DD24108747257,16,-1100.0142265319917,-957.8955963605126
8,DD24108747257,18,-1100.0142265319917,-949.4512556331002
9,DD24108747257,20,-1100.0142265319917,-943.1070692867503
0,DD24108747526,2,-518.619943743009,-980.7341393215656
1,DD24108747526,4,-518.619943743009,-851.3087018209266
2,DD24108747526,6,-518.619943743009,-803.9602676128633
3,DD24108747526,8,-518.619943743009,-780.2973640264103
4,DD24108747526,10,-518.619943743009,-766.1215633903711
5,DD24108747526,12,-518.619943743009,-758.4849683570826
6,DD24108747526,14,-518.619943743009,-752.8888847321062
7,DD24108747526,16,-518.619943743009,-748.972878765992
8,DD24108747526,18,-518.619943743009,-747.0416631445686
9,DD24108747526,20,-518.619943743009,-745.1878170145367
0,DD34108397148,2,-1436.96489696399,-16.096997391184757
1,DD34108397148,4,-1436.96489696399,97.87735448390247
2,DD34108397148,6,-1436.96489696399,158.8469303580012
3,DD34108397148,8,-1436.96489696399,181.58524552939787
4,DD34108397148,10,-1436.96489696399,189.38774645325745
5,DD34108397148,12,-1436.96489696399,192.88544211596573
6,DD34108397148,14,-1436.96489696399,194.90647191692713
7,DD34108397148,16,-1436.96489696399,196.35017331533587
8,DD34108397148,18,-1436.96489696399,197.74004195852876
9,DD34108397148,20,-1436.96489696399,198.46349604893786
0,DD34108399074,2,-2116.353862140109,-999.0950465336542
1,DD34108399074,4,-2116.353862140109,-836.1864808164431
2,DD34108399074,6,-2116.353862140109,-736.6494446164716
3,DD34108399074,8,-2116.353862140109,-675.1714577625036
4,DD34108399074,10,-2116.353862140109,-640.7183551202494
5,DD34108399074,12,-2116.353862140109,-623.335980730259
6,DD34108399074,14,-2116.353862140109,-611.1721676151526
7,DD34108399074,16,-2116.353862140109,-604.1123621267808
8,DD34108399074,18,-2116.353862140109,-599.184811078753
9,DD34108399074,20,-2116.353862140109,-595.2940073535077
0,DD34108624640,2,-1467.1788567069975,-231.1710353142556
1,DD34108624640,4,-1467.1788567069975,-167.4754426293946
2,DD34108624640,6,-1467.1788567069975,-129.2704900791825
3,DD34108624640,8,-1467.1788567069975,-102.83732442075717
4,DD34108624640,10,-1467.1788567069975,-81.43022399489499
5,DD34108624640,12,-1467.1788567069975,-62.85585187339839
6,DD34108624640,14,-1467.1788567069975,-47.35316449809009
7,DD34108624640,16,-1467.1788567069975,-32.3029702082949
8,DD34108624640,18,-1467.1788567069975,-18.095692381534374
9,DD34108624640,20,-1467.1788567069975,-7.627150328490774
0,DD34108625629,2,-1483.556763810994,-1112.6157277654734
1,DD34108625629,4,-1483.556763810994,-983.3512543176586
2,DD34108625629,6,-1483.556763810994,-908.2085984284795
3,DD34108625629,8,-1483.556763810994,-857.493124212969
4,DD34108625629,10,-1483.556763810994,-823.2599410918353
5,DD34108625629,12,-1483.556763810994,-800.8529258506666
6,DD34108625629,14,-1483.556763810994,-784.8533898633763
7,DD34108625629,16,-1483.556763810994,-772.9713852365759
8,DD34108625629,18,-1483.556763810994,-762.2640195721733
9,DD34108625629,20,-1483.556763810994,-752.6590660179647
