,Device,Reward_Total,N_Days,Mean_Daily_Cost,DeviceID,Historic Reward,No Solar Cost,Mean Solar,Mean No Solar
0,DD04108401266,172.8599230901085,454.3923611111111,0.38041995835365644,DD04108401266,-239.38280842799998,-989.875589327,-0.5268196143144768,-2.1784600139546555
1,DD04108624381,85.74439839253702,310.55555555555554,0.27610003060208704,DD04108624381,-334.03874903199994,-1790.620891603,-1.075616723179964,-5.765863336109839
2,DD04108624683,41.90103980384797,320.37847222222223,0.13078606534706363,DD04108624683,-526.304067446,-1408.672043617,-1.6427572795245207,-4.396899809922033
3,DD04108625556,-1624.4027620070112,411.3645833333333,-3.948815303554559,DD04108625556,-2428.278303068,-3821.867024578,-5.902983391013851,-9.290705081144768
4,DD04108627065,-62.06144148139898,459.39930555555554,-0.13509258880212616,DD04108627065,-1010.0163369139999,-2520.669778676,-2.19855869327573,-5.48688199610518
5,DD04108627645,-608.1448021412009,466.59027777777777,-1.3033807841809364,DD04108627645,-1230.456814638,-2081.477796405,-2.637124846446174,-4.461039793453095
6,DD04108746744,-85.8318269995941,359.5486111111111,-0.2387210639872825,DD04108746744,-212.89106687999998,-517.941689725,-0.5921064921433125,-1.4405331399401256
7,DD04108747038,-568.6754632517141,424.4513888888889,-1.3397893802170584,DD04108747038,-1231.362235674,-2065.4304389139998,-2.9010677498250352,-4.8661177533681705
8,DD14108624198,-1927.7754752797177,443.4201388888889,-4.347514481661318,DD14108624198,-2695.0643389859997,-3702.239907963,-6.077902428471617,-8.3492822794201
9,DD14108624638,289.44931784996174,461.37152777777777,0.6273671009654862,DD14108624638,76.00874252800003,-561.167118726,0.16474519546990787,-1.216302014623428
10,DD14108625517,-153.33592382475803,388.53125,-0.3946553174931438,DD14108625517,-395.07362248899994,-943.5686767039999,-1.0168387291601382,-2.4285528556686238
11,DD14108626161,-318.4108176369806,311.3923611111111,-1.022538948935119,DD14108626161,-948.74708444,-2347.613405223,-3.046789847556562,-7.539084763820921
12,DD14108747277,-73.2983205024528,402.40625,-0.18215005483253005,DD14108747277,-558.0364828129999,-1575.5336295969998,-1.3867490448098156,-3.9152812104608214
13,DD24108396973,395.27813380241076,650.6701388888889,0.6074938900337489,DD24108396973,137.90252069400003,-753.651670738,0.21193921843330332,-1.1582699523063509
14,DD24108397380,373.07925884862374,471.4375,0.7913652580641628,DD24108397380,-440.676832715,-1849.634427381,-0.9347513354686464,-3.923392660492642
15,DD24108411689,41.86069337168255,474.4270833333333,0.08823419834628445,DD24108411689,-387.41645433599996,-1077.5454859699998,-0.8165985205018333,-2.2712562663985065
16,DD24108625051,70.427126359202,381.47569444444446,0.18461759788331294,DD24108625051,-443.11006446899995,-1194.783498607,-1.1615682753112637,-3.1320042561217494
17,DD24108626539,-544.6210232004213,347.5763888888889,-1.566910298312934,DD24108626539,-862.783373562,-1535.040707915,-2.482284185988851,-4.416412498047191
18,DD24108628289,-8.857157046129418,471.37152777777777,-0.018790182529448436,DD24108628289,-424.537395416,-1210.885428179,-0.9006428483651283,-2.568855683514802
19,DD24108747257,-691.0555879751886,305.63194444444446,-2.2610712019364967,DD24108747257,-1235.480510134,-1819.3051547359998,-4.042380165397196,-5.952601446956079
20,DD24108747526,-646.8441631133062,419.40972222222223,-1.5422726962218078,DD24108747526,-1082.421766083,-1759.022104764,-2.580821828230019,-4.194042273135458
21,DD34108397148,167.67783595846063,473.44097222222223,0.35416840915018344,DD34108397148,-176.65201785699998,-700.94972279,-0.3731236378377569,-1.480543011518214
22,DD34108399074,-383.71892450723715,480.40277777777777,-0.7987441835416195,DD34108399074,-954.265229268,-2058.75015054,-1.9863857442336004,-4.285466791144006
23,DD34108624640,-45.870157474225884,404.5798611111111,-0.11337726338689016,DD34108624640,-347.809945197,-2518.9409316779997,-0.8596818048278478,-6.226066034923609
24,DD34108625629,-703.3545152540692,466.41319444444446,-1.5080073283343773,DD34108625629,-1259.214741145,-2934.757510175,-2.6997837028278755,-6.292183722783952
25,DD34108625630,8.55316202203933,346.5729166666667,0.024679256833752387,DD34108625630,-351.51968376599996,-883.664566115,-1.014273380467554,-2.549721930421087
26,DD34108626977,-1116.376006585759,359.4201388888889,-3.1060474519789643,DD34108626977,-1953.78356071,-3134.138091894,-5.43593235134215,-8.719984644107232
27,DD34108627045,82.3635696281648,472.5173611111111,0.17430802845950297,DD34108627045,-679.708375685,-1740.438962062,-1.4384833905079912,-3.6833333657188962
28,DD34108628335,325.6289313153534,403.3333333333333,0.8073444578066613,DD34108628335,296.03252064099996,-246.82305489799998,0.7339649272090909,-0.6119579873504132
29,DD34108744929,-1214.7197754947338,401.28819444444446,-3.0270508634733915,DD34108744929,-2080.602446556,-4259.077197748,-5.184808512586445,-10.613512325336147
30,DD34108747528,-59.690042414999795,384.3333333333333,-0.1553080028143967,DD34108747528,-234.42524601099998,-2035.5328697109999,-0.6099529384501301,-5.296269392136167
31,DD34108848768,162.64771066170616,328.53125,0.4950753106795964,DD34108848768,-39.88681894499998,-557.19383826,-0.12140951262627217,-1.696014726939979
32,DD44108397240,-123.77099520696737,457.35069444444446,-0.2706260134956505,DD44108397240,-542.4566891329999,-1237.348951382,-1.1860847610430238,-2.705470804816508
33,DD44108398872,-2119.713781819009,453.4479166666667,-4.674657670502053,DD44108398872,-2929.9569997709996,-3719.54137989,-6.461507247203509,-8.202797373582964
34,DD44108399262,123.62422007966588,465.40972222222223,0.26562448994273097,DD44108399262,-274.854908709,-1032.398789717,-0.590565464332443,-2.218257892825139
35,DD44108411547,241.92787270027645,439.40972222222223,0.5505746925142602,DD44108411547,-36.753032336999986,-653.6036815269999,-0.08364182783924137,-1.4874583981017462
36,DD44108624400,137.594611417803,356.5173611111111,0.38594084447663324,DD44108624400,-99.629022548,-719.739550636,-0.2794506899678019,-2.018806456978369
37,DD44108624580,10.742001549675546,472.47222222222223,0.022735731423853232,DD44108624580,-857.4968190689999,-2794.1005045839997,-1.8149147796157326,-5.913787886708448
38,DD44108625545,22.737814457856835,382.28819444444446,0.059478202016937196,DD44108625545,-337.372504007,-1107.9350275529998,-0.8825082984769707,-2.898166994570922
39,DD44108625594,-401.7395898621314,360.3611111111111,-1.1148250393152495,DD44108625594,-616.7491316039999,-1008.662090771,-1.711475274627611,-2.7990314705739614
40,DD44108625704,110.01870531764793,349.43402777777777,0.31484828772203666,DD44108625704,-134.15629539799997,-548.519516578,-0.3839245314807078,-1.5697369831618986
41,DD44108744903,294.3482368300291,480.37847222222223,0.6127423559769017,DD44108744903,200.15082805100002,-393.291892614,0.41665236813195616,-0.8187125680187931
42,DD44108746880,-798.5962642107081,473.55902777777777,-1.6863711118721556,DD44108746880,-1499.8848757409999,-3859.5573979439996,-3.1672606533959597,-8.150108374145777
43,DD44108746900,20.796831142698498,384.39930555555554,0.05410215586274732,DD44108746900,-345.84114569499997,-826.8916904299999,-0.8996924310130343,-2.1511269101668367
44,DD44108746987,-302.71187465642436,400.5798611111111,-0.7556842069313601,DD44108746987,-1136.5508630079999,-2708.648575329,-2.837264109722052,-6.761819148411175
45,DD44108747374,18.272021081172284,443.2673611111111,0.04122121925550965,DD44108747374,-706.615084026,-1946.766560442,-1.5941058287142353,-4.391856317961602
46,DD44108747529,-1452.43809106656,461.46180555555554,-3.1474719545162886,DD44108747529,-1773.3684013079999,-2376.513091937,-3.8429364683238196,-5.149967046732952
47,DD44108847037,-292.7661268182942,318.24652777777777,-0.9199350228974822,DD44108847037,-734.2783678369999,-1291.4069147389998,-2.307262778212383,-4.0578821825850415
48,DD44108853265,-1075.2687979985576,312.44444444444446,-3.4414719708346437,DD44108853265,-1458.989524201,-2151.6680724099997,-4.669596627954836,-6.88656210942034
49,DD54108225423,304.0264083556019,429.3854166666667,0.7080501492476597,DD54108225423,-2.567674001999984,-744.2626712969999,-0.0059798817154362695,-1.733320793879624
50,DD54108262430,-203.95658960070426,430.4791666666667,-0.47378968692028284,DD54108262430,-710.170592178,-1524.429538717,-1.6497211646200454,-3.541238825844069
51,DD54108397703,-760.8215421261781,460.46180555555554,-1.6523010876184032,DD54108397703,-1839.36840069,-2996.456946161,-3.9946166620068926,-6.5075037929491675
52,DD54108401684,12.493561617607599,59.0,0.21175528165436608,DD54108401684,-26.275365309999998,-81.794229914,-0.4453451747457627,-1.386342879898305
53,DD54108411825,-78.21901019265331,374.2638888888889,-0.20899427520210184,DD54108411825,-465.46900855199993,-1273.3369058459998,-1.2436920108265852,-3.402243560355957
54,DD54108626116,256.40913215188044,459.5625,0.5579418080280276,DD54108626116,-416.59346170799995,-1748.1397183949998,-0.9065001206756425,-3.803921595854753
55,DD54108628224,390.2296239654634,446.5625,0.8738522020220314,DD54108628224,279.204096237,-268.23286793799997,0.6252296066888733,-0.6006614257533939
56,DD54108746822,-798.2497630725586,433.53472222222223,-1.8412591244845895,DD54108746822,-1645.523885245,-3331.909563783,-3.7955988318774927,-7.685450306504221
57,DD54108746925,38.87195061776831,338.64930555555554,0.11478526599662953,DD54108746925,-209.57040087099998,-723.9933114439999,-0.6188419625641898,-2.1378851205859877
58,DD54108847205,-78.18876350113001,312.3611111111111,-0.25031529444559186,DD54108847205,-581.941385195,-2094.5670877059997,-1.8630404506020453,-6.705594945079235
59,DD64108397079,-1906.081758573436,473.3298611111111,-4.026962833274522,DD64108397079,-3624.001109821,-7089.821003279,-7.656396537741973,-14.978604955614054
60,DD64108397167,-190.53963683883887,458.46875,-0.4156000530872363,DD64108397167,-790.912862372,-1872.565521883,-1.725118369293436,-4.0843907504775405
61,DD64108397465,0.5663396871325087,479.34027777777777,0.0011814982245140348,DD64108397465,-346.102015448,-1143.506072743,-0.7220382502645708,-2.38558311445117
62,DD64108399284,186.9398400442215,465.62847222222223,0.4014785417911559,DD64108399284,-250.78757352799997,-871.6881223089999,-0.538600168351198,-1.8720679131773215
63,DD64108401501,-550.1599449992098,459.2986111111111,-1.197826276174212,DD64108401501,-1622.630038617,-2833.923256702,-3.532843338436445,-6.170110660353014
64,DD64108624151,76.6763867462025,433.4375,0.17690298312029415,DD64108624151,-231.417897375,-1712.147153142,-0.5339129571737563,-3.950159257429272
65,DD64108626772,-257.2927335740195,340.3298611111111,-0.7560098685845802,DD64108626772,-632.527623731,-1172.8417925249998,-1.8585722148092434,-3.4461912589624033
66,DD64108742682,-252.90205829740643,381.5520833333333,-0.6628244723184094,DD64108742682,-967.108761955,-2135.43714144,-2.5346703745032624,-5.596712047236888
67,DD64108744906,355.2141538355862,410.40277777777777,0.8655257056469663,DD64108744906,84.72875017600003,-731.8562222979999,0.20645267226207326,-1.7832633255086803
68,DD64108846336,246.65962444965714,327.5416666666667,0.7530633490385156,DD64108846336,-109.78383234199997,-779.847296086,-0.3351751655270321,-2.380910203035746
69,DD74108396921,-1697.0491806448376,649.6770833333334,-2.6121425923440236,DD74108396921,-1700.464928176,-1701.0290860559999,-2.617400200498581,-2.6182685670986543
70,DD74108401113,232.78234261678682,452.40625,0.5145427204349782,DD74108401113,-43.299517176999984,-635.690490234,-0.09570937001201903,-1.40513198089991
71,DD74108410382,64.74125315329717,384.4270833333333,0.16840970878516537,DD74108410382,-397.69248405099995,-1165.7515744369998,-1.0345069358866277,-3.0324387249953118
72,DD74108411769,-387.90448807530595,396.56944444444446,-0.9781502168396325,DD74108411769,-1120.8575721939999,-1870.910547134,-2.826384099673169,-4.717737519477743
73,DD74108744911,-973.5135720304953,480.4375,-2.0263063812264765,DD74108744911,-2063.491705512,-3511.5700931809997,-4.2950263156227395,-7.309109079081045
74,DD74108746871,250.33279249171514,431.3854166666667,0.5802996179751443,DD74108746871,-408.57129403999994,-1593.495238512,-0.9471142932856831,-3.693901501875063
75,DD74108746939,147.29470595888856,481.43055555555554,0.3059521342365051,DD74108746939,-523.1710975589999,-1397.9418929659998,-1.0867010652352074,-2.9037249024479124
76,DD74108747039,-13.162944971108903,440.4861111111111,-0.029882769601760714,DD74108747039,-860.291961069,-2184.098395651,-1.9530512753261233,-4.958381979721646
77,DD74108848762,-722.4144956690304,328.6041666666667,-2.1984337660631117,DD74108848762,-1413.9330342199999,-2762.130653836,-4.302845726403347,-8.405647079447663
78,DD84108188826,190.57426926217323,380.40625,0.5009756523773551,DD84108188826,-32.58609930699999,-554.713396215,-0.08566131420553683,-1.4582131503228457
79,DD84108396707,263.23083708189876,641.5104166666666,0.41032979394109415,DD84108396707,-92.97470151799996,-1142.863199802,-0.14493093035200125,-1.7815193177071043
80,DD84108399040,-211.1148792218904,473.5798611111111,-0.4457851706923803,DD84108399040,-895.054684912,-1948.9627858109998,-1.889976239302124,-4.115383583327111
81,DD84108399233,631.570283759999,353.39930555555554,1.7871293854614383,DD84108399233,631.5702837599999,0.0,1.787129385461441,0.0
82,DD84108399362,81.80171217907059,370.4236111111111,0.2208328781572555,DD84108399362,-892.171683873,-2396.410641211,-2.4085173220920493,-6.469378758073227
83,DD84108624610,-49.665021301954226,382.35069444444446,-0.12989389590129424,DD84108624610,-789.3501002879999,-2122.266264455,-2.064466239390321,-5.5505751533645125
84,DD94108397047,-180.52597944063615,443.61805555555554,-0.40694010800475267,DD94108397047,-592.1930331069999,-1642.54886604,-1.3349164347365883,-3.702619506735336
85,DD94108411897,235.11046683528122,461.3958333333333,0.5095634807465345,DD94108411897,-745.482376179,-1735.485313827,-1.6157111146697973,-3.761380551031562
86,DD94108624202,246.9313791085997,363.39930555555554,0.6795042679872416,DD94108624202,125.61405209899999,-327.55443857999995,0.3456639849846836,-0.9013623129500568
87,DD94108624635,-294.80482443086674,440.2916666666667,-0.669567122772859,DD94108624635,-1049.34192908,-2382.2921046429997,-2.383288189450175,-5.41071359055853
88,DD94108624680,200.76078647435003,356.28819444444446,0.5634786378128349,DD94108624680,-149.65268758499997,-753.852035994,-0.42003268679264394,-2.115849045095282
89,DD94108626233,-253.58173311690504,442.5138888888889,-0.5730480770979305,DD94108626233,-708.3705923919999,-1368.692480125,-1.6007872525100906,-3.09299326979693
90,DD94108746433,-2311.912644921191,366.37847222222223,-6.310176007063345,DD94108746433,-2473.458953039,-3624.914721018,-6.751103409642351,-9.893907518723845
91,DD94108746922,-895.2810720388734,381.3576388888889,-2.347615415931709,DD94108746922,-1768.7055955009998,-3030.27496923,-4.637918360975389,-7.946018802872048
92,DD94108747299,173.54124175843768,390.41319444444446,0.4445066002581849,DD94108747299,136.557257296,-70.390195849,0.3497762351252501,-0.18029666223029372
93,DD94108747364,167.7733452654096,473.39930555555554,0.35440133370816834,DD94108747364,-446.26372660699997,-1881.9861829089998,-0.9426793013210893,-3.975473053768855
94,DDA4108397214,71.07108130418095,409.5138888888889,0.17354986786165943,DDA4108397214,-252.74045968099998,-989.2366309219999,-0.6171718872997116,-2.415636338015397
95,DDA4108411830,80.76385448591014,459.3541666666667,0.17582044606665548,DDA4108411830,-903.3993515359999,-2471.937570556,-1.9666728139021268,-5.38133264033235
96,DDA4108625523,131.6796536087576,383.4513888888889,0.3434063806375046,DDA4108625523,-698.4056398289999,-2350.7321274749997,-1.8213668278859043,-6.130456677407319
97,DDA4108746784,-691.4894354005086,374.2638888888889,-1.8475985953477794,DDA4108746784,-1208.144333495,-2337.4153212829997,-3.2280547746183244,-6.245366947429249
98,DDA4108746853,269.2998592002182,447.4791666666667,0.6018154123381196,DDA4108746853,-161.80179419499996,-1165.801326697,-0.3615850887545974,-2.605263917382373
99,DDA4108747029,-160.90886244200686,400.5173611111111,-0.40175252826897484,DDA4108747029,-822.77257689,-1307.011955341,-2.054274437960624,-3.263309115278052
100,DDA4108747030,200.53608502889207,432.52430555555554,0.46364119299911627,DDA4108747030,-271.532324191,-1520.899275909,-0.627785122600753,-3.516332507500317
101,DDB4108261489,-108.51185261158301,438.37152777777777,-0.2475339882625556,DDB4108261489,-541.910189533,-1236.8073584909998,-1.2361892942274042,-2.8213679039802293
102,DDB4108397026,-1070.3745178676754,647.4305555555555,-1.6532653713712888,DDB4108397026,-1259.008188008,-1375.61418495,-1.944622750972348,-2.1247285491022203
103,DDB4108397228,380.0969081888296,450.3576388888889,0.8439890330862272,DDB4108397228,-74.31513487999997,-872.715656832,-0.16501359911058333,-1.9378280314843603
104,DDB4108399238,-424.30190545146365,424.4270833333333,-0.9997050662250708,DDB4108399238,-910.737356689,-1866.9577075749999,-2.1458040555195486,-4.398771381205056
105,DDB4108399277,534.6819526449979,453.43055555555554,1.1791925932073344,DDB4108399277,380.97878563600005,-607.409312208,0.8402141870858579,-1.3395861941059208
106,DDB4108624595,-524.1756685059572,489.59375,-1.070633905163122,DDB4108624595,-1250.1082045229998,-2416.308017149,-2.553358176085785,-4.935332644971469
107,DDB4108624630,-12.029987235561842,410.3888888888889,-0.0293136280276314,DDB4108624630,-760.7715963989999,-2357.222110401,-1.8537821490702582,-5.743874101423852
108,DDB4108625708,207.18546414820028,452.65277777777777,0.45771389091069375,DDB4108625708,-301.77125959399996,-1280.527366863,-0.6666727222474915,-2.828939597254948
109,DDB4108626367,-883.2689660167889,440.52777777777777,-2.005024451516767,DDB4108626367,-1342.7023841819998,-2927.3966848279997,-3.047940338643798,-6.645203395788385
110,DDB4108743355,325.30082977859126,387.3576388888889,0.8397945389994019,DDB4108743355,249.59930185099998,-207.61881017099998,0.6443639592779425,-0.5359873907909536
111,DDB4108747305,-100.1293031909488,447.4270833333333,-0.22378909753291004,DDB4108747305,-949.7566154909999,-1832.995871275,-2.1227070306413056,-4.096747692650106
112,DDC4108407073,-420.91288365444825,459.4201388888889,-0.9161829184772554,DDC4108407073,-1160.275224102,-1959.597456938,-2.5255210337712546,-4.2653712605574965
113,DDC4108409826,27.08611670793777,376.46875,0.07194784881331523,DDC4108409826,-684.8978303099999,-2376.507248576,-1.8192687449091058,-6.312628202409895
114,DDC4108624172,-1395.0635708349662,450.625,-3.0958414886767627,DDC4108624172,-2090.142941427,-3567.8517523269998,-4.638319980975313,-7.917562834567544
115,DDC4108625658,-1559.9368507978975,464.4548611111111,-3.358640379101803,DDC4108625658,-2351.678654987,-3972.2315517419997,-5.063309380293923,-8.55245984989643
116,DDC4108625710,-981.2722243551998,457.5451388888889,-2.1446457211590957,DDC4108625710,-1756.413856038,-3705.460123079,-3.838777219452725,-8.09856735026714
117,DDC4108625891,226.41083819693844,375.49305555555554,0.6029694420365656,DDC4108625891,-92.57424120599998,-1193.969982653,-0.2465404881297553,-3.179739185552921
118,DDC4108626261,-68.26499776445993,319.5,-0.21366196483399041,DDC4108626261,-619.802051911,-1493.654896223,-1.939912525543036,-4.674976201010955
119,DDC4108746813,255.07943393698483,346.6736111111111,0.7357913200241545,DDC4108746813,-115.35876596399996,-861.2042614689999,-0.3327590052045431,-2.484193298442259
120,DDC4108747255,-362.0459441836071,402.53125,-0.8994231980339591,DDC4108747255,-954.675176234,-2452.2584466569997,-2.3716796552665165,-6.092094580624485
121,DDD4108225405,414.284468519993,449.3263888888889,0.9220123250371542,DDD4108225405,414.28446851999996,-0.111387376,0.9220123250371697,-0.00024789858498060365
122,DDD4108397463,-280.52013604167394,415.3888888888889,-0.6753193057041769,DDD4108397463,-705.7971843109999,-1651.3417609479998,-1.6991238889391465,-3.9754114881722606
123,DDD4108400047,319.8268133198646,360.3298611111111,0.8875945288954084,DDD4108400047,-412.15337321299995,-2013.275694168,-1.1438224185530619,-5.587312935874575
124,DDD4108401220,185.33936169355667,430.33680555555554,0.4306844297323989,DDD4108401220,-269.86614618199997,-1137.4364775479999,-0.6271044974496397,-2.643130828839039
125,DDD4108401239,-203.7321904250976,440.3923611111111,-0.46261517777256794,DDD4108401239,-368.841587356,-852.624282293,-0.8375294849016266,-1.9360560209124125
126,DDD4108401690,-50.163602782391315,474.5798611111111,-0.10570107771734283,DDD4108401690,-578.293970298,-1453.7459265749999,-1.21853879122487,-3.063227173549704
127,DDD4108411828,252.56800648843944,382.3888888888889,0.6605003801818843,DDD4108411828,57.24485216200001,-520.2312307239999,0.14970323099171873,-1.3604768491983144
128,DDD4108626315,-1105.7569820359695,446.3923611111111,-2.4770965598148678,DDD4108626315,-1966.49699956,-3658.685926074,-4.405310598651846,-8.196121270908845
129,DDD4108626580,63.30085444398636,453.39930555555554,0.13961392015460428,DDD4108626580,-593.900028262,-1375.006959008,-1.3098829684670277,-3.0326622519264506
130,DDD4108627802,634.4263538268877,473.40277777777777,1.3401407503457803,DDD4108627802,416.493024783,-613.701431459,0.8797857645408831,-1.2963621260099163
131,DDD4108746420,-519.7028929773381,471.3854166666667,-1.1025009993994754,DDD4108746420,-1673.642784017,-3272.691984408,-3.5504763720776964,-6.942709444747707
132,DDD4108747313,-3169.920863657363,451.53819444444446,-7.02027182342241,DDD4108747313,-3800.4095961099997,-5334.400266346,-8.416585004034664,-11.81384062738977
133,DDE4108397158,-714.9369960358199,398.36805555555554,-1.7946644718758489,DDE4108397158,-1483.342501459,-2580.941856046,-3.7235478115592437,-6.478787192026915
134,DDE4108397189,-457.6606563376527,451.4236111111111,-1.013816391241012,DDE4108397189,-1027.679995458,-1895.390643242,-2.276531333681286,-4.198696294544235
135,DDE4108400925,-69.88134567562223,452.5138888888889,-0.1544291730961235,DDE4108400925,-365.06105834699997,-1025.257838348,-0.8067400080103126,-2.26569363620073
136,DDE4108411773,215.70299939325517,432.30555555555554,0.49895958222432607,DDE4108411773,61.612679382,-394.518218677,0.14252113716841228,-0.9125911374652702
137,DDE4108626592,46.919033624973984,479.4375,0.0978626695345566,DDE4108626592,-279.148481841,-1397.639270692,-0.5822416516042237,-2.915164689228523
138,DDE4108627067,26.07077188415837,359.4270833333333,0.07253424433789896,DDE4108627067,-330.862067745,-1091.5943742959998,-0.9205262571662078,-3.0370398473385305
139,DDE4108628246,-25.253900998581507,423.5104166666667,-0.05962994062188121,DDE4108628246,-305.115139647,-981.6982074489999,-0.7204430579263594,-2.3180025067049708
140,DDF4108181429,-64.45643055499941,467.5,-0.13787471776470464,DDF4108181429,-646.4467416049999,-1662.7206605279998,-1.3827737788342245,-3.5566217337497323
141,DDF4108397100,2.7271437434316703,458.4826388888889,0.005948194134549511,DDF4108397100,-744.875867878,-1628.82467571,-1.6246544682328028,-3.552641992415198
142,DDF4108397389,102.64271394150842,460.53125,0.22287893371298564,DDF4108397389,-250.00999503899996,-979.4558118389999,-0.5428730298736513,-2.1267955471838227
143,DDF4108625682,-1050.9245259106958,446.41319444444446,-2.354152025498615,DDF4108625682,-2059.560370117,-3332.895046714,-4.613574141060272,-7.465942064866038
144,DDF4108744937,-91.83005197181554,412.3645833333333,-0.22269141357754546,DDF4108744937,-899.608480969,-1962.841416264,-2.1815852217400664,-4.759966048484199
145,DDF4108747359,-1521.019733202705,389.3958333333333,-3.9061017170686343,DDF4108747359,-1784.209015956,-2942.454594939,-4.58199308575721,-7.556461428338345
146,ED055CC184C2A,-92.78754739402153,856.5486111111111,-0.10832724049795368,ED055CC184C2A,-206.56048000399997,-925.0183715549999,-0.24115441590180225,-1.079936806336152
147,ED855CC1AF620,-2145.2163122150246,452.6388888888889,-4.739354847483331,ED855CC1AF620,-2971.015972025,-4740.040049505999,-6.563766492353482,-10.472012383075542
148,EDA55CC1AF4FA,122.92182594155426,460.46180555555554,0.2669533595587735,EDA55CC1AF4FA,-405.99243719799995,-1223.0461007659999,-0.8817070868845738,-2.656129316285794
149,EDB55CC1AF417,218.8307949598478,460.38194444444446,0.47532445092719033,EDB55CC1AF417,-254.57108024499996,-1039.527388115,-0.5529562645038086,-2.2579673261718076
